dead malf norm treat
1	0	7	0
0	0	14	0
0	0	13	0
0	0	10	0
0	1	15	0
1	0	14	0
1	0	10	0
0	0	12	0
0	0	11	0
0	0	8	0
1	0	6	0
0	0	15	0
0	0	12	0
0	0	12	0
0	0	13	0
0	0	10	0
0	0	10	0
1	0	11	0
0	0	12	0
0	0	13	0
1	0	14	0
0	0	13	0
0	0	13	0
1	0	14	0
0	0	14	0
0	3	7	0.75
1	3	11	0.75
0	2	9	0.75
0	0	12	0.75
0	1	11	0.75
0	3	10	0.75
0	0	15	0.75
0	0	11	0.75
2	0	8	0.75
0	1	10	0.75
0	0	10	0.75
0	1	13	0.75
0	1	9	0.75
0	0	14	0.75
1	1	11	0.75
0	1	9	0.75
0	1	10	0.75
0	0	15	0.75
0	0	15	0.75
0	3	10	0.75
0	2	5	0.75
0	1	11	0.75
0	1	6	0.75
1	1	8	0.75
0	8	2	1.5
0	6	5	1.5
0	5	7	1.5
0	11	2	1.5
1	6	3	1.5
0	7	6	1.5
0	0	1	1.5
0	3	8	1.5
0	8	3	1.5
0	2	12	1.5
0	1	12	1.5
0	10	5	1.5
0	5	6	1.5
0	1	11	1.5
0	3	10	1.5
0	0	13	1.5
0	6	1	1.5
0	2	6	1.5
0	1	2	1.5
0	0	7	1.5
0	4	6	1.5
0	0	12	1.5
0	4	3	3
1	9	1	3
0	4	8	3
1	11	0	3
0	7	3	3
0	9	1	3
0	3	1	3
0	7	0	3
0	1	3	3
0	12	0	3
2	12	0	3
0	11	3	3
0	5	6	3
0	4	8	3
0	5	7	3
2	3	9	3
0	9	1	3
0	0	9	3
0	5	4	3
0	2	5	3
1	3	9	3
0	2	5	3
0	1	11	3
